SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE
RAMCOSYS,Ramco Systems Limited,EQ,12-Apr-00,10,1,INE246B01019,10
RAMKY,Ramky Infrastructure Limited,EQ,8-Oct-10,10,1,INE874I01013,10
RANASUG,Rana Sugars Limited,EQ,24-Feb-05,10,1,INE625B01014,10
RANEENGINE,Rane Engine Valve Limited,EQ,24-Jun-08,10,1,INE222J01013,10
RANEHOLDIN,Rane Holdings Limited,EQ,24-Sep-97,10,1,INE384A01010,10
RATNAMANI,Ratnamani Metals & Tubes Limited,EQ,9-May-06,2,1,INE703B01027,2
RAYMOND,Raymond Limited,EQ,18-Oct-95,10,1,INE301A01014,10
RBL,Rane Brake Lining Limited,EQ,20-Jun-08,10,1,INE244J01017,10
RBLBANK,RBL Bank Limited,EQ,31-Aug-16,10,1,INE976G01028,10
RCF,Rashtriya Chemicals and Fertilizers Limited,EQ,7-Jan-98,10,1,INE027A01015,10
RCOM,Reliance Communications Limited,EQ,6-Mar-06,5,1,INE330H01018,5
RECLTD,REC Limited,EQ,12-Mar-08,10,1,INE020B01018,10
REDINGTON,Redington (India) Limited,EQ,15-Feb-07,2,1,INE891D01026,2
REFEX,Refex Industries Limited,EQ,3-Dec-09,10,1,INE056I01017,10
RELAXO,Relaxo Footwears Limited,EQ,17-Jun-11,1,1,INE131B01039,1
RELCAPITAL,Reliance Capital Limited,BE,29-Nov-95,10,1,INE013A01015,10
RELIANCE,Reliance Industries Limited,EQ,29-Nov-95,10,1,INE002A01018,10
RELIGARE,Religare Enterprises Limited,EQ,21-Nov-07,10,1,INE621H01010,10
RELINFRA,Reliance Infrastructure Limited,BE,8-Feb-95,10,1,INE036A01016,10
REMSONSIND,Remsons Industries Limited,EQ,31-Jan-96,10,1,INE474C01015,10
RENUKA,Shree Renuka Sugars Limited,EQ,31-Oct-05,1,1,INE087H01022,1
REPCOHOME,Repco Home Finance Limited,EQ,1-Apr-13,10,1,INE612J01015,10
REPL,Rudrabhishek Enterprises Limited,EQ,14-Dec-20,10,1,INE364Z01019,10
REPRO,Repro India Limited,EQ,22-Dec-05,10,1,INE461B01014,10
RESPONIND,Responsive Industries Limited,EQ,29-Oct-10,1,1,INE688D01026,1
REVATHI,Revathi Equipment Limited,EQ,11-Aug-05,10,1,INE617A01013,10
RGL,Renaissance Global Limited,EQ,12-Dec-07,10,1,INE722H01016,10
RHFL,Reliance Home Finance Limited,EQ,22-Sep-17,10,1,INE217K01011,10
RHIM,RHI MAGNESITA INDIA LIMITED,EQ,12-Mar-12,1,1,INE743M01012,1
RICOAUTO,Rico Auto Industries Limited,EQ,12-May-03,1,1,INE209B01025,1
RIIL,Reliance Industrial Infrastructure Limited,EQ,29-Nov-95,10,1,INE046A01015,10
RITES,RITES Limited,EQ,2-Jul-18,10,1,INE320J01015,10
RKEC,RKEC Projects Limited,EQ,18-Dec-20,10,1,INE786W01010,10
RKFORGE,Ramkrishna Forgings Limited,EQ,5-May-04,10,1,INE399G01015,10
RMCL,Radha Madhav Corporation Limited,BZ,26-Nov-07,10,1,INE172H01014,10
RML,Rane (Madras) Limited,EQ,30-Aug-05,10,1,INE050H01012,10
RNAVAL,Reliance Naval and Engineering Limited,BZ,9-Oct-09,10,1,INE542F01012,10
ROHITFERRO,Rohit Ferro-Tech Limited,BE,13-Apr-06,10,1,INE248H01012,10
ROHLTD,Royal Orchid Hotels Limited,BE,6-Feb-06,10,1,INE283H01019,10
ROLEXRINGS,Rolex Rings Limited,EQ,9-Aug-21,10,1,INE645S01016,10
ROLLT,Rollatainers Limited,EQ,22-Nov-16,1,1,INE927A01040,1
ROLTA,Rolta India Limited,BZ,1-Mar-95,10,1,INE293A01013,10
ROML,Raj Oil Mills Limited,BE,6-Oct-20,10,1,INE294G01026,10
ROSSARI,Rossari Biotech Limited,EQ,23-Jul-20,2,1,INE02A801020,2
ROSSELLIND,Rossell India Limited,EQ,25-Sep-12,2,1,INE847C01020,2
ROUTE,ROUTE MOBILE LIMITED,EQ,21-Sep-20,10,1,INE450U01017,10
RPGLIFE,RPG Life Sciences Limited,EQ,10-Jun-08,8,1,INE105J01010,8
RPOWER,Reliance Power Limited,BE,11-Feb-08,10,1,INE614G01033,10
RPPINFRA,R.P.P. Infra Projects Limited,EQ,6-Dec-10,10,1,INE324L01013,10
RPSGVENT,RPSG VENTURES LIMITED,EQ,25-Jan-19,10,1,INE425Y01011,10
RSSOFTWARE,R. S. Software (India) Limited,EQ,19-May-99,5,1,INE165B01029,5
RSWM,RSWM Limited,EQ,15-Feb-95,10,1,INE611A01016,10
RSYSTEMS,R Systems International Limited,EQ,26-Apr-06,1,1,INE411H01032,1
RTNINDIA,RattanIndia Enterprises Limited,EQ,30-Jul-12,2,1,INE834M01019,2
RTNPOWER,RattanIndia Power Limited,EQ,30-Oct-09,10,1,INE399K01017,10
RUBYMILLS,The Ruby Mills Limited,EQ,29-Mar-95,5,1,INE301D01026,5
RUCHI,Ruchi Soya Industries Limited,EQ,24-Jan-20,2,1,INE619A01035,2
RUCHINFRA,Ruchi Infrastructure Limited,BE,16-Oct-96,1,1,INE413B01023,1
RUCHIRA,Ruchira Papers Limited,EQ,20-Dec-06,10,1,INE803H01014,10
RUPA,Rupa & Company Limited,EQ,7-Dec-11,1,1,INE895B01021,1
RUSHIL,Rushil Decor Limited,EQ,7-Jul-11,10,1,INE573K01017,10
RVHL,Ravinder Heights Limited,EQ,18-Dec-20,1,1,INE09E501017,1
RVNL,Rail Vikas Nigam Limited,EQ,11-Apr-19,10,1,INE415G01027,10
S&SPOWER,S&S Power Switchgears Limited,BE,27-Sep-95,10,1,INE902B01017,10
SABEVENTS,Sab Events & Governance Now Media Limited,BE,15-Sep-16,10,1,INE860T01019,10
SABTN,Sri Adhikari Brothers Television Network Limited,BE,16-Nov-07,10,1,INE416A01036,10
SADBHAV,Sadbhav Engineering Limited,EQ,1-Mar-06,1,1,INE226H01026,1
SADBHIN,Sadbhav Infrastructure Project Limited,EQ,16-Sep-15,10,1,INE764L01010,10
SAFARI,Safari Industries (India) Limited,EQ,12-Sep-19,2,1,INE429E01023,2
SAGARDEEP,Sagardeep Alloys Limited,EQ,25-Jan-19,10,1,INE976T01013,10
SAGCEM,Sagar Cements Limited,EQ,29-Jan-07,2,1,INE229C01021,2
SAIL,Steel Authority of India Limited,EQ,6-Jul-95,10,1,INE114A01011,10
SAKAR,Sakar Healthcare Limited,EQ,11-Apr-19,10,1,INE732S01012,10
SAKHTISUG,Sakthi Sugars Limited,EQ,6-Sep-95,10,1,INE623A01011,10
SAKSOFT,Saksoft Limited,EQ,9-May-05,10,1,INE667G01015,10
SAKUMA,Sakuma Exports Limited,EQ,8-Mar-06,1,1,INE190H01024,1
SALASAR,Salasar Techno Engineering Limited,EQ,25-Jul-17,10,1,INE170V01019,10
SALONA,Salona Cotspin Limited,EQ,16-Jun-16,10,1,INE498E01010,10
SALSTEEL,S.A.L. Steel Limited,EQ,24-Nov-04,10,1,INE658G01014,10
SALZERELEC,Salzer Electronics Limited,EQ,2-Dec-15,10,1,INE457F01013,10
SAMBHAAV,Sambhaav Media Limited,BE,5-Jun-96,1,1,INE699B01027,1
SANCO,Sanco Industries Limited,EQ,22-Nov-16,10,1,INE782L01012,10
SANDESH,The Sandesh Limited,EQ,26-Nov-02,10,1,INE583B01015,10
SANDHAR,Sandhar Technologies Limited,EQ,2-Apr-18,10,1,INE278H01035,10
SANGAMIND,Sangam (India) Limited,EQ,17-Jul-96,10,1,INE495C01010,10
SANGHIIND,Sanghi Industries Limited,EQ,10-May-95,10,1,INE999B01013,10
SANGHVIMOV,Sanghvi Movers Limited,EQ,24-Jan-07,2,1,INE989A01024,2
SANGINITA,Sanginita Chemicals Limited,BE,15-Jul-19,10,1,INE753W01010,10
SANOFI,Sanofi India Limited,EQ,19-May-03,10,1,INE058A01010,10
SANSERA,Sansera Engineering Limited,EQ,24-Sep-21,2,1,INE953O01021,2
SANWARIA,Sanwaria Consumer Limited,BZ,27-Mar-06,1,1,INE890C01046,1
SAPPHIRE,Sapphire Foods India Limited,EQ,18-Nov-21,10,1,INE806T01012,10
SARDAEN,Sarda Energy & Minerals Limited,EQ,3-Dec-09,10,1,INE385C01013,10
SAREGAMA,Saregama India Limited,BE,30-Jul-97,10,1,INE979A01017,10
SARLAPOLY,Sarla Performance Fibers Limited,EQ,19-Jan-07,1,1,INE453D01025,1
SASKEN,Sasken Technologies Limited,EQ,9-Sep-05,10,1,INE231F01020,10
SASTASUNDR,Sastasundar Ventures Limited,EQ,5-Oct-10,10,1,INE019J01013,10
SATIA,Satia Industries Limited,EQ,17-Jul-19,1,1,INE170E01023,1
SATIN,Satin Creditcare Network Limited,EQ,26-Aug-15,10,1,INE836B01017,10
SBC,SBC Exports Limited,EQ,23-Nov-21,10,1,INE04AK01010,10
SBCL,Shivalik Bimetal Controls Limited,EQ,24-Jun-21,2,1,INE386D01027,2
SBICARD,SBI Cards and Payment Services Limited,EQ,16-Mar-20,10,1,INE018E01016,10
SBILIFE,SBI Life Insurance Company Limited,EQ,3-Oct-17,10,1,INE123W01016,10
SBIN,State Bank of India,EQ,1-Mar-95,1,1,INE062A01020,1
SCAPDVR,Stampede Capital Limited,BE,10-Oct-17,1,1,INE224E01036,1
SCHAEFFLER,Schaeffler India Limited,EQ,29-Nov-00,10,1,INE513A01014,10
SCHAND,S Chand And Company Limited,EQ,9-May-17,5,1,INE807K01035,5
SCHNEIDER,Schneider Electric Infrastructure Limited,EQ,20-Mar-12,2,1,INE839M01018,2
SCI,Shipping Corporation Of India Limited,EQ,13-Aug-97,10,1,INE109A01011,10
SDBL,Som Distilleries & Breweries Limited,EQ,18-Mar-14,5,1,INE480C01020,5
SEAMECLTD,Seamec Limited,BE,28-Jun-95,10,1,INE497B01018,10
SECURKLOUD,SECUREKLOUD TECHNOLOGIES LIMITED,EQ,29-Jan-14,5,1,INE650K01021,5
SELAN,Selan Exploration Technology Limited,EQ,26-Sep-06,10,1,INE818A01017,10
SELMC,SEL Manufacturing Company Limited,EQ,26-Oct-21,10,1,INE105I01020,10
SEPOWER,S.E. Power Limited,BE,27-Jul-12,10,1,INE735M01018,10
SEQUENT,Sequent Scientific Limited,EQ,10-Mar-16,2,1,INE807F01027,2
SERVOTECH,Servotech Power Systems Limited,EQ,2-Sep-21,10,1,INE782X01017,10
SESHAPAPER,Seshasayee Paper and Boards Limited,EQ,29-Mar-95,2,1,INE630A01024,2
SETCO,Setco Automotive Limited,EQ,1-Jul-16,2,1,INE878E01021,2
SETUINFRA,Setubandhan Infrastructure Limited,EQ,4-Oct-11,1,1,INE023M01027,1
SEYAIND,Seya Industries Limited,EQ,11-Jul-19,10,1,INE573R01012,10
SFL,Sheela Foam Limited,EQ,9-Dec-16,5,1,INE916U01025,5
SGIL,Synergy Green Industries Limited,EQ,28-Jul-21,10,1,INE00QT01015,10
SGL,STL Global Limited,EQ,10-Apr-06,10,1,INE353H01010,10
SHAHALLOYS,Shah Alloys Limited,BE,16-Jun-05,10,1,INE640C01011,10
SHAKTIPUMP,Shakti Pumps (India) Limited,EQ,29-Jan-15,10,1,INE908D01010,10
SHALBY,Shalby Limited,EQ,15-Dec-17,10,1,INE597J01018,10
SHALPAINTS,Shalimar Paints Limited,EQ,3-Mar-08,2,1,INE849C01026,2
SHANKARA,Shankara Building Products Limited,EQ,5-Apr-17,10,1,INE274V01019,10
SHANTI,Shanti Overseas (India) Limited,BE,16-Sep-21,10,1,INE933X01016,10
SHANTIGEAR,Shanthi Gears Limited,EQ,17-Jan-96,1,1,INE631A01022,1
SHARDACROP,Sharda Cropchem Limited,EQ,23-Sep-14,10,1,INE221J01015,10
SHARDAMOTR,Sharda Motor Industries Limited,EQ,3-Sep-15,2,1,INE597I01028,2
SHAREINDIA,Share India Securities Limited,EQ,21-Sep-20,10,1,INE932X01018,10
SHEMAROO,Shemaroo Entertainment Limited,BE,1-Oct-14,10,1,INE363M01019,10
SHIL,Somany Home Innovation Limited,BE,26-Dec-19,2,1,INE05AN01011,2
SHILPAMED,Shilpa Medicare Limited,EQ,3-Dec-09,1,1,INE790G01031,1
SHIVAMAUTO,Shivam Autotech Limited,BE,21-Nov-06,2,1,INE637H01024,2
SHIVAMILLS,Shiva Mills Limited,EQ,26-Feb-18,10,1,INE644Y01017,10
SHIVATEX,Shiva Texyarn Limited,EQ,26-Dec-17,10,1,INE705C01020,10
SHK,S H Kelkar and Company Limited,EQ,16-Nov-15,10,1,INE500L01026,10
SHOPERSTOP,Shoppers Stop Limited,EQ,23-May-05,5,1,INE498B01024,5
SHRADHA,Shradha Infraprojects Limited,EQ,22-Oct-20,10,1,INE715Y01015,10
SHREDIGCEM,Shree Digvijay Cement Co.Ltd,EQ,28-Jan-20,10,1,INE232A01011,10
SHREECEM,SHREE CEMENT LIMITED,EQ,26-Apr-95,10,1,INE070A01015,10
SHREEPUSHK,Shree Pushkar Chemicals & Fertilisers Limited,EQ,10-Sep-15,10,1,INE712K01011,10
SHREERAMA,Shree Rama Multi-Tech Limited,EQ,13-Mar-00,5,1,INE879A01019,5
SHRENIK,Shrenik Limited,EQ,2-Aug-19,1,1,INE632X01030,1
SHREYANIND,Shreyans Industries Limited,EQ,6-Nov-96,10,1,INE231C01019,10
SHREYAS,Shreyas Shipping & Logistics Limited,EQ,1-Mar-95,10,1,INE757B01015,10
SHRIPISTON,Shriram Pistons & Rings Limited,BE,2-Jun-16,10,1,INE526E01018,10
SHRIRAMCIT,Shriram City Union Finance Limited,EQ,4-Apr-05,10,1,INE722A01011,10
SHRIRAMEPC,Shriram EPC Limited,EQ,20-Feb-08,10,1,INE964H01014,10
SHYAMCENT,Shyam Century Ferrous Limited,EQ,28-Jul-15,1,1,INE979R01011,1
SHYAMMETL,Shyam Metalics and Energy Limited,EQ,24-Jun-21,10,1,INE810G01011,10
SHYAMTEL,Shyam Telecom Limited,EQ,6-Nov-06,10,1,INE635A01023,10
SICAL,Sical Logistics Limited,BE,28-Apr-99,10,1,INE075B01012,10
SIEMENS,Siemens Limited,EQ,6-Sep-95,2,1,INE003A01024,2
SIGACHI,Sigachi Industries Limited,BE,15-Nov-21,10,1,INE0D0K01014,10
SIGIND,Signet Industries Limited,EQ,29-Aug-18,10,1,INE529F01035,10
SIKKO,Sikko Industries Limited,EQ,22-Oct-21,10,1,INE112X01017,10
SIL,Standard Industries Limited,BE,27-Jan-04,5,1,INE173A01025,5
SILGO,Silgo Retail Limited,EQ,3-Mar-21,10,1,INE01II01013,10
SILINV,SIL Investments Limited,EQ,22-May-96,10,1,INE923A01015,10
SILLYMONKS,Silly Monks Entertainment Limited,BE,8-Jul-20,10,1,INE203Y01012,10
SIMBHALS,Simbhaoli Sugars Limited,EQ,14-Mar-16,10,1,INE748T01016,10
SIMPLEXINF,Simplex Infrastructures Limited,EQ,9-Mar-04,2,1,INE059B01024,2
SINTERCOM,Sintercom India Limited,EQ,7-Oct-20,10,1,INE129Z01016,10
SINTEX,Sintex Industries Limited,BE,5-Nov-98,1,1,INE429C01035,1
SIRCA,Sirca Paints India Limited,EQ,22-Jul-19,10,1,INE792Z01011,10
SIS,SIS LIMITED,EQ,10-Aug-17,5,1,INE285J01028,5
SITINET,Siti Networks Limited,BE,10-Jan-07,1,1,INE965H01011,1
SIYSIL,Siyaram Silk Mills Limited,EQ,29-Jan-07,2,1,INE076B01028,2
SJS,S.J.S. Enterprises Limited,EQ,15-Nov-21,10,1,INE284S01014,10
SJVN,SJVN Limited,EQ,20-May-10,10,1,INE002L01015,10
SKFINDIA,SKF India Limited,EQ,27-Jan-99,10,1,INE640A01023,10
SKIPPER,Skipper Limited,EQ,27-May-15,1,1,INE439E01022,1
SKMEGGPROD,SKM Egg Products Export (India) Limited,EQ,14-Mar-97,10,1,INE411D01015,10
SMARTLINK,Smartlink Holdings Limited,EQ,11-Apr-01,2,1,INE178C01020,2
SMCGLOBAL,SMC Global Securities Limited,EQ,24-Feb-21,2,1,INE103C01036,2
SMLISUZU,SML Isuzu Limited,EQ,29-Aug-03,10,1,INE294B01019,10
SMSLIFE,SMS Lifesciences India Limited,EQ,17-Aug-17,10,1,INE320X01016,10
SMSPHARMA,SMS Pharmaceuticals Limited,EQ,28-Feb-07,1,1,INE812G01025,1
SNOWMAN,Snowman Logistics Limited,EQ,12-Sep-14,10,1,INE734N01019,10
SOBHA,Sobha Limited,EQ,20-Dec-06,10,1,INE671H01015,10
SOLARA,Solara Active Pharma Sciences Limited,EQ,27-Jun-18,10,1,INE624Z01016,10
SOLARINDS,Solar Industries India Limited,EQ,3-Apr-06,2,1,INE343H01029,2
SOMANYCERA,Somany Ceramics Limited,EQ,22-Nov-95,2,1,INE355A01028,2
SOMICONVEY,Somi Conveyor Beltings Limited,EQ,18-Jul-16,10,1,INE323J01019,10
SONACOMS,Sona BLW Precision Forgings Limited,EQ,24-Jun-21,10,1,INE073K01018,10
SONATSOFTW,Sonata Software Limited,EQ,28-Jul-99,1,1,INE269A01021,1
SORILINFRA,SORIL Infra Resources Limited,EQ,6-Dec-05,10,1,INE034H01016,10
SOTL,Savita Oil Technologies Limited,EQ,28-Jun-95,10,1,INE035D01012,10
SOUTHBANK,The South Indian Bank Limited,EQ,8-Dec-98,1,1,INE683A01023,1
SOUTHWEST,South West Pinnacle Exploration Limited,BE,18-Apr-19,10,1,INE980Y01015,10
SPAL,S. P. Apparels Limited,EQ,12-Aug-16,10,1,INE212I01016,10
SPANDANA,Spandana Sphoorty Financial Limited,EQ,19-Aug-19,10,1,INE572J01011,10
SPARC,Sun Pharma Advanced Research Company Limited,EQ,18-Jul-07,1,1,INE232I01014,1
SPECIALITY,Speciality Restaurants Limited,EQ,30-May-12,10,1,INE247M01014,10
SPENCERS,Spencer's Retail Limited,EQ,25-Jan-19,5,1,INE020801028,5
SPENTEX,Spentex Industries Limited,BZ,20-Dec-06,10,1,INE376C01020,10
SPIC,Southern Petrochemicals Industries Corporation  Limited,EQ,10-Jan-96,10,1,INE147A01011,10
SPICEJET,SPICEJET LTD,EQ,10-May-95,10,1,INE285B01017,10
SPLIL,SPL Industries Limited,EQ,26-Jul-05,10,1,INE978G01016,10
SPMLINFRA,SPML Infra Limited,EQ,14-Feb-96,2,1,INE937A01023,2
SPTL,Sintex Plastics Technology Limited,EQ,8-Aug-17,1,1,INE501W01021,1
SREEL,Sreeleathers Limited,EQ,1-Jan-14,10,1,INE099F01013,10
SREINFRA,SREI Infrastructure Finance Limited,BE,20-Dec-95,10,1,INE872A01014,10
SRF,SRF Limited,EQ,18-Aug-03,10,1,INE647A01010,10
SRHHYPOLTD,Sree Rayalaseema Hi-Strength Hypo Limited,EQ,8-May-07,10,1,INE917H01012,10
SRIPIPES,Srikalahasthi Pipes Limited,EQ,28-Aug-07,10,1,INE943C01027,10
SRPL,Shree Ram Proteins Limited,EQ,23-Sep-20,10,1,INE008Z01012,10
SRTRANSFIN,Shriram Transport Finance Company Limited,EQ,11-Dec-96,10,1,INE721A01013,10
SSWL,Steel Strips Wheels Limited,BE,6-Jun-05,5,1,INE802C01025,5
STAR,Strides Pharma Science Limited,EQ,2-Feb-00,10,1,INE939A01011,10
STARCEMENT,Star Cement Limited,EQ,16-Jun-17,1,1,INE460H01021,1
STARPAPER,Star Paper Mills Limited,EQ,13-Sep-95,10,1,INE733A01018,10
STCINDIA,The State Trading Corporation of India Limited,EQ,1-Apr-03,10,1,INE655A01013,10
STEELCAS,Steelcast Limited,EQ,23-Nov-21,5,1,INE124E01020,5
STEELCITY,Steel City Securities Limited,EQ,27-Jun-19,10,1,INE395H01011,10
STEELXIND,STEEL EXCHANGE INDIA LIMITED,EQ,20-Jul-17,10,1,INE503B01013,10
STEL,Stel Holdings Limited,EQ,9-Feb-11,10,1,INE577L01016,10
STERTOOLS,Sterling Tools Limited,EQ,2-Feb-06,2,1,INE334A01023,2
STLTECH,Sterlite Technologies Limited,EQ,8-Dec-00,2,1,INE089C01029,2
STOVEKRAFT,Stove Kraft Limited,EQ,5-Feb-21,10,1,INE00IN01015,10
STYLAMIND,Stylam Industries Limited,EQ,2-Aug-21,5,1,INE239C01020,5
SUBCAPCITY,International Constructions Limited,BE,10-Jul-96,10,1,INE845C01016,10
SUBEXLTD,Subex Limited,EQ,5-Nov-20,5,1,INE754A01055,5
SUBROS,Subros Limited,EQ,13-Jul-05,2,1,INE287B01021,2
SUDARSCHEM,Sudarshan Chemical Industries Limited,EQ,25-May-95,2,1,INE659A01023,2
SUMEETINDS,Sumeet Industries Limited,EQ,10-Dec-10,10,1,INE235C01010,10
SUMICHEM,Sumitomo Chemical India Limited,EQ,27-Jan-20,10,1,INE258G01013,10
SUMIT,Sumit Woods Limited,EQ,30-Jul-19,10,1,INE748Z01013,10
SUMMITSEC,Summit Securities Limited,EQ,28-Jan-11,10,1,INE519C01017,10
SUNCLAYLTD,Sundaram Clayton Limited,EQ,23-Oct-12,5,1,INE105A01035,5
SUNDARAM,Sundaram Multi Pap Limited,BE,2-Jun-10,1,1,INE108E01023,1
SUNDARMFIN,Sundaram Finance Limited,EQ,7-Jan-98,10,1,INE660A01013,10
SUNDARMHLD,Sundaram Finance Holdings Limited,EQ,26-Mar-18,5,1,INE202Z01029,5
SUNDRMBRAK,Sundaram Brake Linings Limited,EQ,17-Jul-96,10,1,INE073D01013,10
SUNDRMFAST,Sundram Fasteners Limited,EQ,7-Jun-00,1,1,INE387A01021,1
SUNFLAG,Sunflag Iron And Steel Company Limited,EQ,29-Sep-05,10,1,INE947A01014,10
SUNPHARMA,Sun Pharmaceutical Industries Limited,EQ,8-Feb-95,1,1,INE044A01036,1
SUNTECK,Sunteck Realty Limited,EQ,13-Nov-09,1,1,INE805D01034,1
SUNTV,Sun TV Network Limited,EQ,24-Apr-06,5,1,INE424H01027,5
SUPERHOUSE,Superhouse Limited,EQ,26-Sep-14,10,1,INE712B01010,10
SUPERSPIN,Super Spinning Mills Limited,EQ,8-Jul-04,1,1,INE662A01027,1
SUPPETRO,Supreme Petrochem Limited,EQ,13-Oct-99,10,1,INE663A01017,10
SUPRAJIT,Suprajit Engineering Limited,EQ,18-Feb-05,1,1,INE399C01030,1
SUPREMEENG,Supreme Engineering Limited,EQ,4-Dec-20,10,1,INE319Z01013,10
SUPREMEIND,Supreme Industries Limited,EQ,19-Jul-95,2,1,INE195A01028,2
SUPREMEINF,Supreme Infrastructure India Limited,EQ,18-Oct-07,10,1,INE550H01011,10
SURANASOL,Surana Solar Limited,BE,7-Jan-11,5,1,INE272L01022,5
SURANAT&P,Surana Telecom and Power Limited,EQ,22-May-02,1,1,INE130B01031,1
SURYALAXMI,Suryalakshmi Cotton Mills Limited,EQ,15-Jun-05,10,1,INE713B01026,10
SURYAROSNI,Surya Roshni Limited,EQ,10-May-95,10,1,INE335A01012,10
SURYODAY,Suryoday Small Finance Bank Limited,EQ,26-Mar-21,10,1,INE428Q01011,10
SUTLEJTEX,Sutlej Textiles and Industries Limited,EQ,14-Dec-06,1,1,INE645H01027,1
SUULD,Suumaya Industries Limited,EQ,19-Oct-20,10,1,INE591Q01016,10
SUVEN,Suven Life Sciences Limited,EQ,23-Oct-03,1,1,INE495B01038,1
SUVENPHAR,Suven Pharmaceuticals Limited,EQ,9-Mar-20,1,1,INE03QK01018,1
SUVIDHAA,Suvidhaa Infoserve Limited,EQ,31-Mar-21,1,1,INE018401013,1
SUZLON,Suzlon Energy Limited,EQ,19-Oct-05,2,1,INE040H01021,2
SVPGLOB,SVP Global Ventures Limited,EQ,14-Jul-21,1,1,INE308E01029,1
SWANENERGY,Swan Energy Limited,EQ,29-May-12,1,1,INE665A01038,1
SWARAJENG,Swaraj Engines Limited,EQ,6-Dec-95,10,1,INE277A01016,10
SWELECTES,Swelect Energy Systems Limited,EQ,9-May-06,10,1,INE409B01013,10
SWSOLAR,Sterling And Wilson Solar Limited,EQ,20-Aug-19,1,1,INE00M201021,1
SYMPHONY,Symphony Limited,EQ,15-Jun-11,2,1,INE225D01027,2
SYNGENE,Syngene International Limited,EQ,11-Aug-15,10,1,INE398R01022,10
TAJGVK,Taj GVK Hotels & Resorts Limited,EQ,20-Dec-00,2,1,INE586B01026,2
TAKE,Take Solutions Limited,EQ,27-Aug-07,1,1,INE142I01023,1
TALBROAUTO,Talbros Automotive Components Limited,EQ,29-Sep-06,10,1,INE187D01011,10
TANLA,Tanla Platforms Limited,EQ,5-Jan-07,1,1,INE483C01032,1
TANTIACONS,Tantia Constructions Limited,BZ,19-Feb-08,10,1,INE388G01018,10
TARAPUR,Tarapur Transformers Limited,EQ,18-May-10,10,1,INE747K01017,10
TARC,TARC Limited,EQ,18-Dec-20,2,1,INE0EK901012,2
TARMAT,Tarmat Limited,EQ,9-Jul-07,10,1,INE924H01018,10
TASTYBITE,Tasty Bite Eatables Limited,EQ,23-Mar-17,10,1,INE488B01017,10
TATACHEM,Tata Chemicals Limited,EQ,1-Apr-99,10,1,INE092A01019,10
TATACOFFEE,Tata Coffee Limited,EQ,16-Feb-00,1,1,INE493A01027,1
TATACOMM,Tata Communications Limited,EQ,12-Apr-95,10,1,INE151A01013,10
TATACONSUM,TATA CONSUMER PRODUCTS LIMITED,EQ,18-Nov-98,1,1,INE192A01025,1
TATAELXSI,Tata Elxsi Limited,EQ,17-Sep-03,10,1,INE670A01012,10
TATAINVEST,Tata Investment Corporation Limited,EQ,24-Jun-98,10,1,INE672A01018,10
TATAMETALI,Tata Metaliks Limited,EQ,27-May-03,10,1,INE056C01010,10
TATAMOTORS,Tata Motors Limited,EQ,22-Jul-98,2,1,INE155A01022,2
TATAMTRDVR,Tata Motors Limited,EQ,5-Nov-08,2,1,IN9155A01020,2
TATAPOWER,Tata Power Company Limited,EQ,3-Apr-96,1,1,INE245A01021,1
TATASTEEL,Tata Steel Limited,EQ,18-Nov-98,10,1,INE081A01012,10
TATASTLLP,Tata Steel Long Products Limited,EQ,24-Feb-03,10,1,INE674A01014,10
TATVA,Tatva Chintan Pharma Chem Limited,EQ,29-Jul-21,10,1,INE0GK401011,10
TBZ,Tribhovandas Bhimji Zaveri Limited,EQ,9-May-12,10,1,INE760L01018,10
TCI,Transport Corporation of India Limited,EQ,21-Jan-02,2,1,INE688A01022,2
TCIDEVELOP,TCI Developers Limited,EQ,19-Apr-11,10,1,INE662L01016,10
TCIEXP,TCI Express Limited,EQ,15-Dec-16,2,1,INE586V01016,2
TCIFINANCE,TCI Finance Limited,EQ,21-May-97,10,1,INE911B01018,10
TCNSBRANDS,TCNS Clothing Co. Limited,EQ,30-Jul-18,2,1,INE778U01029,2
TCPLPACK,TCPL Packaging Limited,EQ,17-Oct-17,10,1,INE822C01015,10
TCS,Tata Consultancy Services Limited,EQ,25-Aug-04,1,1,INE467B01029,1
TDPOWERSYS,TD Power Systems Limited,EQ,8-Sep-11,10,1,INE419M01019,10
TEAMLEASE,Teamlease Services Limited,EQ,12-Feb-16,10,1,INE985S01024,10
TECHIN,Techindia Nirman Limited,BE,8-Sep-11,10,1,INE778A01021,10
TECHM,Tech Mahindra Limited,EQ,28-Aug-06,5,1,INE669C01036,5
TECHNOE,Techno Electric & Engineering Company Limited,EQ,4-Dec-18,2,1,INE285K01026,2
TEJASNET,Tejas Networks Limited,EQ,27-Jun-17,10,1,INE010J01012,10
TEMBO,Tembo Global Industries Limited,BE,23-Apr-21,10,1,INE869Y01010,10
TERASOFT,Tera Software Limited,EQ,29-Dec-16,10,1,INE482B01010,10
TEXINFRA,Texmaco Infrastructure & Holdings Limited,EQ,9-Sep-04,1,1,INE435C01024,1
TEXMOPIPES,Texmo Pipes and Products Limited,EQ,10-Mar-10,10,1,INE141K01013,10
